Product URL,Product name,brand,Mrp,Sales price,Discount percentage,Number of reviews,Star rating
https://www.amazon.com/ASICS-Mens-Gel-Kumo-Shoes-Black/dp/B07SLJNSYB?psc=1,ASICS Men's Gel-Kumo Lyte Shoes,ASICS,0.0,81.54,0,274,4.6
https://www.amazon.com/Nike-Running-Thunder-Crimson-Numeric_10/dp/B07NNRN89H?psc=1,"Nike Mens Running (10, Thunder Grey/Team Crimson, Numeric_10)",Nike,0.0,65.49,0,39,3.8
https://www.amazon.com/ASICS-HyperGEL-KENZEN-Running-Shoes-Black/dp/B07BMKXJ5N?psc=1,ASICS Men's HyperGEL-KENZEN Running Shoes,ASICS,130.0,87.73,33,280,4.3
https://www.amazon.com/adidas-Climacool-Vento-Running-Sneakers/dp/B09H4SQG6R?psc=1,adidas Mens Climacool Vento Running Sneakers Shoes - White,Adidas,0.0,99.95,0,1,5.0
https://www.amazon.com/ASICS-Gel-Cumulus-Running-Phantom-Medium/dp/B01N3LRWAQ?psc=1,ASICS Men's Gel-Cumulus 19 Running Shoe,ASICS,0.0,120.0,0,3813,4.4
https://www.amazon.com/Nike-Zoom-Pegasus-Shield-nkCQ7935/dp/B08BTG2CJ1?psc=1,"Nike Women's Air Zoom Pegasus 37 Shield Running Shoe, CQ8639-003",Nike,0.0,130.0,0,39,4.3
https://www.amazon.com/Adidas-Running-Ultraboost-Black-Signal/dp/B082X5B7X3?psc=1,adidas Originals Zx 2k Boost Mens Casual Running Shoe Fx8835 Size,Adidas,0.0,180.0,0,48,4.9
https://www.amazon.com/adidas-Supernova-Running-Silver-Black/dp/B082CXHP2R?psc=1,adidas Unisex-Adult Supernova Running Shoe,Adidas,100.0,70.38,30,53,4.4
https://www.amazon.com/PUMA-Aviator-Running-Sneakers-Shoes/dp/B0B2VJG6J2?psc=1,PUMA Mens Aviator Running Sneakers Shoes - Pink,PUMA,0.0,54.95,0,0,0.0
https://www.amazon.com/Nike-Rival-Track-nk907564-Numeric_10/dp/B09SS5PP6L?psc=1,Nike Zoom Rival S 9 Track and Field Shoes nk907564 406,Nike,0.0,94.0,0,19,4.9
https://www.amazon.com/Under-Armour-Speedform-Velociti-Graphic/dp/B01NCEC3DO?psc=1,Under Armour Women's Speedform Velociti Graphic Running Shoe,Under Armour,0.0,77.16,0,99,4.4
https://www.amazon.com/Nike-Invigor-Running-Trainers-Sneakers/dp/B0B61XMDC5?psc=1,Nike Air Max Invigor Low Top Men's Running Sneakers,Nike,0.0,144.99,0,1964,4.4
https://www.amazon.com/Nike-Running-Shoes-Black-Platinum/dp/B076FR7L3N?psc=1,"Nike Mens Air Max 2017 Running Shoes (10, Wolf Grey/Black/Pure Platinum)",Nike,209.99,190.0,10,38,4.5
