,Rank,Name,Title,Country,Rating,B-Year,age
50,51,"Ponomariov, Ruslan",g,Ukraine,2630,1983,17
51,52,"Sadler, Matthew",g,England,2628,1974,26
52,53,"Sakaev, Konstantin",g,Russia,2627,1974,26
53,54,"Ehlvest, Jaan",g,Estonia,2627,1962,38
54,55,"Onischuk, Alexander",g,Ukraine,2627,1975,25
55,56,"Kharlov, Andrei",g,Russia,2627,1968,32
56,57,"Milov, Vadim",g,Switzerland,2626,1972,28
57,58,"Avrukh, Boris",g,Israel,2625,1978,22
58,59,"Kaidanov, Gregory S",g,USA,2624,1959,41
59,60,"Vaganian, Rafael A",g,Armenia,2623,1951,49
60,61,"Speelman, Jonathan S.",g,England,2623,1956,44
61,62,"Tregubov, Pavel V.",g,Russia,2620,1971,29
62,63,"Korchnoi, Viktor",g,Switzerland,2620,1931,69
63,64,"Korneev, Oleg",g,Russia,2619,1969,31
64,65,"Huebner, Robert Dr.",g,Germany,2615,1948,52
65,66,"Hansen, Curt",g,Denmark,2613,1964,36
66,67,"Bacrot, Etienne",g,France,2613,1983,17
67,68,"Hracek, Zbynek",g,Czech Republic,2612,1970,30
68,69,"Kozul, Zdenko",g,Croatia,2611,1966,34
69,70,"Novikov, Igor A",g,Ukraine,2611,1962,38
70,71,"Sokolov, Ivan",g,Bosnia and Herzegovina,2611,1968,32
71,72,"Psakhis, Lev",g,Israel,2611,1958,42
72,73,"Jussupow, Artur",g,Germany,2610,1960,40
73,74,"Landa, Konstantin",g,Russia,2610,1972,28
74,75,"Sutovsky, Emil",g,Israel,2609,1977,23
75,76,"Tiviakov, Sergei",g,Netherlands,2608,1973,27
76,77,"Ftacnik, Lubomir",g,Slovakia,2608,1957,43
77,78,"Dolmatov, Sergey",g,Russia,2608,1959,41
78,79,"Morovic Fernandez, Ivan",g,Croatia,2608,1963,37
79,80,"Magomedov, Magaram",g,Russia,2608,1966,34
80,81,"Grischuk, Alexander",g,Russia,2606,1983,17
81,82,"Dautov, Rustem",g,Germany,2606,1965,35
82,83,"Malakhov, Vladimir",g,Russia,2605,1980,20
83,84,"Smagin, Sergey",g,Russia,2605,1958,42
84,85,"Granda Zuniga, Julio E",g,Peru,2605,1967,33
85,86,"Wang, Zili",g,China,2603,1968,32
86,87,"Shabalov, Alexander",g,USA,2601,1967,33
87,88,"Wu, Wenjin",g,China,2601,1976,24
88,89,"Dorfman, Josif D",g,France,2600,1952,48
89,90,"Baklan, Vladimir",g,Ukraine,2599,1978,22
90,91,"Giorgadze, Giorgi",g,Georgia,2599,1964,36
91,92,"Vladimirov, Evgeny",g,Kazakhstan,2598,1957,43
92,93,"Lputian, Smbat G",g,Armenia,2598,1958,42
93,94,"Najer, Evgeniy",g,Russia,2597,1977,23
94,95,"Yermolinsky, Alex",g,USA,2596,1958,42
95,96,"Kuzmin, Alexey",g,Russia,2596,1963,37
96,97,"Lutz, Christopher",g,Germany,2595,1971,29
97,98,"Minasian, Artashes",g,Armenia,2595,1967,33
98,99,"Iordachescu, Viorel",g,Moldova,2594,1977,23
99,100,"Fominyh, Alexander",g,Russia,2594,1959,41
